main_strategy	date	id	management_fee	incentive_fee	high_watermark	firm_id	strategy_code	performance	nav	assets	mktrf	smb	hml	rf
2	20060131	14879	1.15	7	0.923076923	4362.153846	5	2.677184615	6422.8725	319.49625	3.04	5.43	1.12	0.35
2	20060228	14879	1.15	7	0.923076923	4362.153846	5	0.107638462	6403.7075	324.33	-0.3	-0.38	-0.25	0.34
2	20060331	15328	1.19375	6.5	0.928571429	4077.285714	5	1.407828571	5246.478	293.02	1.46	3.51	0.51	0.37
2	20060430	15328	1.19375	6.5	0.928571429	4077.285714	5	2.0596	5162.242	304.9566667	0.73	-1.34	2.61	0.36
2	20060531	15328	1.19375	6.5	0.928571429	4077.285714	5	-1.670171429	5057.84	309.1666667	-3.57	-3.03	2.57	0.43
2	20060630	15328	1.19375	6.5	0.928571429	4077.285714	5	-0.678085714	5064.632	314.76	-0.35	-0.38	0.86	0.4
2	20060731	15328	1.19375	6.5	0.928571429	4077.285714	5	0.200185714	5052.424	317.5455556	-0.78	-4.07	2.92	0.4
2	20060831	15328	1.19375	6.5	0.928571429	4077.285714	5	0.636071429	5123.572	321.8522222	2.03	0.92	-1.72	0.42
2	20060930	15328	1.19375	6.5	0.928571429	4077.285714	5	0.18745	5179.794	332.5688889	1.84	-1.36	0.03	0.41
2	20061031	15328	1.19375	6.5	0.928571429	4077.285714	5	1.656185714	5335.988	338.8788889	3.23	1.75	-0.05	0.41
2	20061130	15328	1.19375	6.5	0.928571429	4077.285714	5	1.600671429	5425.302	348.39	1.71	0.86	0.04	0.42
2	20061231	15328	1.19375	6.5	0.928571429	4077.285714	5	1.893978571	5531.586	359.2411111	0.87	-1.1	3.16	0.4
2	20070131	15328	1.19375	6.5	0.928571429	4077.285714	5	0.8309	5658.954	368.1555556	1.4	0.1	-0.13	0.44
2	20070228	15328	1.19375	6.5	0.928571429	4077.285714	5	1.086514286	5656.956	384.6466667	-1.96	1.32	-0.1	0.38
2	20070331	15328	1.19375	6.5	0.928571429	4077.285714	5	0.908035714	5732.676	400.3766667	0.68	-0.06	-0.23	0.43
2	20070430	15328	1.19375	6.5	0.928571429	4077.285714	5	1.732307143	5709.246	418.8944444	3.49	-2.07	-1.15	0.44
2	20070531	15328	1.19375	6.5	0.928571429	4077.285714	5	1.660528571	5779.424	447.2111111	3.24	-0.01	-0.07	0.41
2	20070630	15328	1.19375	6.5	0.928571429	4077.285714	5	0.727978571	5815.726	477.2722222	-1.96	0.79	-1.11	0.4
2	20070731	15328	1.19375	6.5	0.928571429	4077.285714	5	0.015871429	5712.664	501.8744444	-3.73	-2.5	-3.34	0.4
2	20070831	15328	1.19375	6.5	0.928571429	4077.285714	5	-2.108128571	5687.422	520.35	0.92	-0.1	-2.25	0.42
2	20070930	15328	1.19375	6.5	0.928571429	4077.285714	5	1.894478571	5856.86	534.3022222	3.22	-2.28	-1.91	0.32
2	20071031	15328	1.19375	6.5	0.928571429	4077.285714	5	2.508207143	5963.9156	569.0722222	1.8	0.22	-2.62	0.32
2	20071130	15328	1.19375	6.5	0.928571429	4077.285714	5	-1.632635714	5797.5214	588.3855556	-4.83	-2.61	-1.18	0.34
2	20071231	15328	1.19375	6.5	0.928571429	4077.285714	5	0.305835714	5792.825	631.07	-0.87	0.19	-0.44	0.27
2	20080131	16160	1.180833333	6.733333333	0.866666667	4193.6	5	-2.865646667	5628.27928	644.0677778	-6.36	-0.87	3.69	0.21
2	20080229	16160	1.180833333	6.733333333	0.866666667	4193.6	5	1.46506	5606.34602	695.04	-3.09	-0.21	-0.88	0.13
2	20080331	16160	1.180833333	6.733333333	0.866666667	4193.6	5	-2.549233333	5553.18	714.0122222	-0.93	0.91	-0.18	0.17
2	20080430	16160	1.180833333	6.733333333	0.866666667	4193.6	5	1.557253333	5510.142	750.0122222	4.6	-1.65	-0.99	0.18
2	20080531	16221	1.175892857	5.785714286	0.857142857	4228.785714	5	1.833735714	5603.566	780.3711111	1.86	3.15	-1.49	0.18
2	20080630	16221	1.175892857	5.785714286	0.857142857	4228.785714	5	-0.981785714	5304.782	785.7744444	-8.44	1.32	-2.47	0.17
2	20080731	16221	1.175892857	5.785714286	0.857142857	4228.785714	5	-2.188785714	5176.31	779.0555556	-0.77	2.44	5.89	0.15
2	20080831	16221	1.175892857	5.785714286	0.857142857	4228.785714	5	-1.258114286	5144.552	785.4966667	1.53	3.61	1.57	0.13
2	20080930	16221	1.175892857	5.785714286	0.857142857	4228.785714	5	-5.981035714	4769.534	729.7111111	-9.24	-1.11	6.26	0.15
2	20081031	16221	1.175892857	5.785714286	0.857142857	4228.785714	5	-5.319407143	4206.0178	691.6177778	-17.23	-2.25	-2.75	0.08
2	20081130	16585	1.174038462	5.461538462	0.846153846	4417.692308	5	-2.600138462	4979.795	590.8833333	-7.86	-3.01	-5.85	0.03
2	20081231	16585	1.174038462	5.461538462	0.846153846	4417.692308	5	-1.355853846	5080.3575	567.0911111	1.74	3.62	-0.21	0
2	20090131	16585	1.174038462	5.461538462	0.846153846	4417.692308	5	1.244292308	4944.515	545.1477778	-8.12	0.1	-11.25	0
2	20090228	16585	1.174038462	5.461538462	0.846153846	4417.692308	5	-0.449530769	4781.545	496.8733333	-10.1	0.15	-7.27	0.01
2	20090331	16585	1.174038462	5.461538462	0.846153846	4417.692308	5	0.072353846	4850.405	499.8755556	8.95	-0.1	3.62	0.02
2	20090430	16585	1.174038462	5.461538462	0.846153846	4417.692308	5	0.893353846	5049.8475	329.2222222	10.19	4.74	5.44	0.01
2	20090531	16585	1.174038462	5.461538462	0.846153846	4417.692308	5	2.8384	5348.82	331.9477778	5.21	-2.35	-0.14	0
2	20090630	17285	1.161607143	5.071428571	0.785714286	4593.071429	5	0.73325	4427.99	299.03	0.43	2.6	-2.66	0.01
2	20090731	17285	1.161607143	5.071428571	0.785714286	4593.071429	5	1.714178571	4613.838	244.884	7.72	2.05	5.22	0.01
2	20090831	16881	1.193269231	5.076923077	0.769230769	4373.307692	5	1.616084615	4727.248	248.988	3.33	-0.81	7.85	0.01
2	20090930	16881	1.193269231	5.076923077	0.769230769	4373.307692	5	2.02	4906.8	253.411	4.08	2.49	0.97	0.01
2	20091031	17716	1.215178571	4.714285714	0.714285714	4330.214286	5	-0.058235714	4878.374	186.7381818	-2.59	-4.29	-4.26	0
2	20091130	17716	1.215178571	4.714285714	0.714285714	4330.214286	5	1.000021429	5025.924	194.124	5.56	-2.48	-0.12	0
2	20091231	17716	1.215178571	4.714285714	0.714285714	4330.214286	5	1.098621429	5084.25	191.743	2.75	6.11	0	0.01
3	19950430	5728	2	20	1	3141	4	1.59			2.11	-0.63	2.25	0.44
3	19950531	5728	2	20	1	3141	4	0.02			2.9	-2.2	1.68	0.54
3	19950630	5728	2	20	1	3141	4	-0.4			2.72	2.93	-2.27	0.47
3	19950731	5728	2	20	1	3141	4	1.24			3.72	2.09	-1.69	0.45
3	19950831	5728	2	20	1	3141	4	1.8			0.55	1.6	2.72	0.47
3	19950930	5728	2	20	1	3141	4	0.88			3.35	-2.11	-0.76	0.43
3	19951031	5728	2	20	1	3141	4	1.97			-1.52	-3.74	-0.75	0.47
3	19951130	5728	2	20	1	3141	4	0.76			3.96	-1.17	0.95	0.42
3	19951231	5728	2	20	1	3141	4	0.4			1.03	0.57	0.86	0.49
3	19960131	5728	2	20	1	3141	4	0.98			2.26	-2.61	0.32	0.43
3	19960229	5728	2	20	1	3141	4	0.53			1.33	1.87	-1.44	0.39
3	19960331	5728	2	20	1	3141	4	0.96			0.73	1.3	0.99	0.39
3	19960430	5728	2	20	1	3141	4	0.5			2.06	4.92	-3.9	0.46
3	19960531	5728	2	20	1	3141	4	0.42			2.36	3.04	-1.21	0.42
3	19960630	5728	2	20	1	3141	4	1.01			-1.14	-3.58	1.55	0.4
3	19960731	5728	2	20	1	3141	4	1.83			-5.97	-3.84	4.42	0.45
3	19960831	5728	2	20	1	3141	4	1.02			2.77	2.29	-0.43	0.41
3	19960930	5728	2	20	1	3141	4	0.71			5.01	-0.87	-3.13	0.44
3	19961031	4075	1.75	10	0.5	1582.5	4	0.465		2	0.86	-4.47	5.1	0.42
3	19961130	4075	1.75	10	0.5	1582.5	4	0.88		2	6.25	-3.91	1.21	0.41
3	19961231	4075	1.75	10	0.5	1582.5	4	0.465		2	-1.7	3.21	0.86	0.46
3	19970131	4075	1.75	10	0.5	1582.5	4	1.085		2.1	4.98	-1.84	-1.65	0.45
3	19970228	4075	1.75	10	0.5	1582.5	4	0.795		2.1	-0.49	-2.9	5.18	0.39
3	19970331	4075	1.75	10	0.5	1582.5	4	-0.56		2	-5.02	-0.38	3.78	0.43
3	19970430	4075	1.75	10	0.5	1582.5	4	0.46		2.1	4.04	-5.64	-0.07	0.43
3	19970531	4075	1.75	10	0.5	1582.5	4	1.685		2.1	6.74	4.92	-3.91	0.49
3	19970630	4075	1.75	10	0.5	1582.5	4	1.655		2.2	4.1	1.35	1.21	0.37
3	19970731	4075	1.75	10	0.5	1582.5	4	2.225		2.2	7.33	-2.79	0.85	0.43
3	19970831	4075	1.75	10	0.5	1582.5	4	0.74		2.3	-4.15	7.29	1.37	0.41
3	19970930	4075	1.75	10	0.5	1582.5	4	1.225		4.3	5.35	2.61	0.01	0.44
3	19971031	4075	1.75	10	0.5	1582.5	4	-0.23		4.3	-3.8	-0.66	1.94	0.42
3	19971130	4075	1.75	10	0.5	1582.5	4	0.095		4.3	2.98	-4.96	0.77	0.39
3	19971231	4075	1.75	10	0.5	1582.5	4	-0.085		4.3	1.32	-2.32	3.45	0.48
3	19980131	4075	1.75	10	0.5	1582.5	4	1.02		3.3	0.15	-1.16	-1.43	0.43
3	19980228	4075	1.75	10	0.5	1582.5	4	1.42		3.4	7.04	0.01	-0.15	0.39
3	19980331	4075	1.75	10	0.5	1582.5	4	0.805		3.4	4.76	-0.93	1.03	0.39
3	19980430	4075	1.75	10	0.5	1582.5	4	1.25		3.5	0.73	0.22	0.78	0.43
3	19980531	4075	1.75	10	0.5	1582.5	4	-0.04		3.5	-3.07	-3.75	4.15	0.4
3	19980630	4075	1.75	10	0.5	1582.5	4	-0.44		3.5	3.18	-3.14	-2.34	0.41
3	19980731	4102	1.2	6.666666667	0.666666667	1678	4	-0.701233333	1514.3721	9.27	-2.46	-5.13	-0.98	0.4
3	19980831	4102	1.2	6.666666667	0.666666667	1678	4	-1.637933333	1541.5736	9.31	-16.08	-5.3	3.39	0.43
3	19980930	4102	1.2	6.666666667	0.666666667	1678	4	-0.538366667	1543.807	9.32	6.15	-0.14	-3.26	0.46
3	19981031	4102	1.2	6.666666667	0.666666667	1678	4	0.6465	1571.8972	9.31	7.13	-3.3	-2.2	0.32
3	19981130	4102	1.2	6.666666667	0.666666667	1678	4	2.507366667	1595.0375	9.625	6.1	1.06	-3.13	0.31
3	19981231	4102	1.2	6.666666667	0.666666667	1678	4	0.173366667	1593.1258	9.615	6.16	-0.34	-4.45	0.38
3	19990131	4102	1.2	6.666666667	0.666666667	1678	4	2.256266667	1613.02	9.715	3.5	0.37	-4.03	0.35
3	19990228	4102	1.2	6.666666667	0.666666667	1678	4	0.0845	1622.11	14.16	-4.08	-5.64	1.37	0.35
3	19990331	4102	1.2	6.666666667	0.666666667	1678	4	0.708266667	1622.16	21.76	3.45	-3.93	-2.65	0.43
3	19990430	4102	1.2	6.666666667	0.666666667	1678	4	1.2388	1620.63	22.45	4.33	3.96	2.54	0.37
3	19990531	4102	1.2	6.666666667	0.666666667	1678	4	0.259766667	1631.0962	23.385	-2.46	3.46	2.33	0.34
3	19990630	4102	1.2	6.666666667	0.666666667	1678	4	-0.4724	1622.4979	30.505	4.77	3.04	-3.58	0.4
3	19990731	4102	1.2	6.666666667	0.666666667	1678	4	1.017233333	1620.4167	30.47	-3.47	2.66	-0.8	0.38
3	19990831	4102	1.2	6.666666667	0.666666667	1678	4	0.2858	1648.7326	31.465	-1.38	-1.35	-1.27	0.39
3	19990930	4102	1.2	6.666666667	0.666666667	1678	4	0.3051	1662.9993	34.85	-2.81	3.33	-3.37	0.39
3	19991031	4102	1.2	6.666666667	0.666666667	1678	4	0.097833333	1667.2155	34.935	6.13	-6.87	-2.97	0.39
3	19991130	4102	1.2	6.666666667	0.666666667	1678	4	-0.006733333	1655.2076	30.99	3.37	7.4	-6.51	0.36
3	19991231	4102	1.2	6.666666667	0.666666667	1678	4	0.567866667	1676.95	29.58	7.72	7.15	-8.69	0.44
3	20000131	4102	1.2	6.666666667	0.666666667	1678	4	-0.543633333	1657.6495	28.955	-4.74	5.01	-0.45	0.41
3	20000229	4102	1.2	6.666666667	0.666666667	1678	4	0.712566667	1678	29.29	2.45	22.08	-10.49	0.43
3	20000331	4102	1.2	6.666666667	0.666666667	1678	4	1.3387	1672.9	27.34	5.2	-17.17	7.86	0.47
3	20000430	4102	1.2	6.666666667	0.666666667	1678	4	0.989266667	1690.93	27.605	-6.4	-7.77	8.57	0.46
3	20000531	4102	1.2	6.666666667	0.666666667	1678	4	1.447966667	1716.36	28.03	-4.42	-4.94	2.39	0.5
3	20000630	4102	1.2	6.666666667	0.666666667	1678	4	1.023166667	1728.71	28.635	4.64	13.95	-10.03	0.4
3	20000731	4102	1.2	6.666666667	0.666666667	1678	4	1.258066667	1752.8112	29.025	-2.51	-2.78	8.15	0.48
3	20000831	4102	1.2	6.666666667	0.666666667	1678	4	1.6497	1777.51	29.425	7.03	-1.11	-0.69	0.5
3	20000930	4102	1.2	6.666666667	0.666666667	1678	4	-0.208533333	1808.34	29.84	-5.45	-1.4	6.23	0.51
3	20001031	4102	1.2	6.666666667	0.666666667	1678	4	0.860766667	1830.9856	30.98	-2.76	-3.77	5.55	0.56
3	20001130	4102	1.2	6.666666667	0.666666667	1678	4	-0.2193	1837.25	30.975	-10.72	-2.77	11.29	0.51
3	20001231	4102	1.2	6.666666667	0.666666667	1678	4	0.903333333	1846.62	29.46	1.19	0.96	7.3	0.5
3	20010131	4102	1.2	6.666666667	0.666666667	1678	4	5.324166667	1904.65	32.475	3.13	6.56	-4.88	0.54
3	20010228	4102	1.2	6.666666667	0.666666667	1678	4	0.8229	1890.15	33.245	-10.05	-0.72	12.91	0.38
3	20010331	4102	1.2	6.666666667	0.666666667	1678	4	0.464433333	1896.45	34.55	-7.26	0.39	6.49	0.42
3	20010430	4102	1.2	6.666666667	0.666666667	1678	4	3.339133333	1933.76	35.05	7.94	0.5	-4.69	0.39
3	20010531	4102	1.2	6.666666667	0.666666667	1678	4	1.216033333	1953.06	30.325	0.72	2.6	3.13	0.32
3	20010630	4102	1.2	6.666666667	0.666666667	1678	4	-0.180866667	1953.4	28.13	-1.94	6.03	-1.09	0.28
3	20010731	4102	1.2	6.666666667	0.666666667	1678	4	-0.130666667	1950.43	32.415	-2.13	-4.35	5.61	0.3
3	20010831	4102	1.2	6.666666667	0.666666667	1678	4	0.524933333	1956.96	33.215	-6.46	2.5	2.56	0.31
