id	main_strategy	management_fee	incentive_fee	high_watermark	firm_id	strategy_code	date	performance	nav	assets	mktrf	smb	hml	rf
3632	1	1	20	1	1538	2	20090531	12.29		43.2	5.21	-2.35	-0.14	0
3632	1	1	20	1	1538	2	20090630	0.05		43.3	0.43	2.6	-2.66	0.01
3632	1	1	20	1	1538	2	20090731	4.11		52.1	7.72	2.05	5.22	0.01
3632	1	1	20	1	1538	2	20090831	-0.5		51.8	3.33	-0.81	7.85	0.01
3632	1	1	20	1	1538	2	20090930	2.55		56.4	4.08	2.49	0.97	0.01
3632	1	1	20	1	1538	2	20091031	-2.46		54.6	-2.59	-4.29	-4.26	0
3632	1	1	20	1	1538	2	20091130	1.66		56.7	5.56	-2.48	-0.12	0
3632	1	1	20	1	1538	2	20091231	1.22		57.7	2.75	6.11	0	0.01
374	2	1.5	0	1	55	5	19881231			93.54	1.49	1.94	-1.55	0.63
374	2	1.5	0	1	55	5	19890131			93.54	6.1	-2.13	0.53	0.55
374	2	1.5	0	1	55	5	19890228			93.54	-2.25	2.76	0.88	0.61
374	2	1.5	0	1	55	5	19890331	5.07	6293.15	94.06	1.57	0.73	0.48	0.67
374	2	1.5	0	1	55	5	19890430			94.06	4.33	-0.59	-1.47	0.67
374	2	1.5	0	1	55	5	19890531			94.06	3.35	-0.03	-0.83	0.79
374	2	1.5	0	1	55	5	19890630	-0.68	6250.42	100.06	-1.35	-1.01	2.16	0.71
374	2	1.5	0	1	55	5	19890731			100.06	7.2	-4.02	-2.83	0.7
374	2	1.5	0	1	55	5	19890831			100.06	1.44	0.5	0.73	0.74
374	2	1.5	0	1	55	5	19890930	7.35	6709.94	107.19	-0.76	0.28	-1.33	0.65
374	2	1.5	0	1	55	5	19891031			107.19	-3.67	-3.3	-1.02	0.68
374	2	1.5	0	1	55	5	19891130			107.19	1.03	-1.24	-1.11	0.69
374	2	1.5	0	1	55	5	19891231	0.71	6757.86	107.96	1.16	-2.41	0.3	0.61
374	2	1.5	0	1	55	5	19900131	-4.15	6477.63	102.51	-7.85	-1.28	0.86	0.57
374	2	1.5	0	1	55	5	19900228	1.89	6600.02	104.45	1.11	1.03	0.61	0.57
374	2	1.5	0	1	55	5	19900331	5.95	6992.71	110.66	1.83	1.52	-2.89	0.64
374	2	1.5	0	1	55	5	19900430	-0.73	6941.41	109.85	-3.36	-0.5	-2.55	0.69
374	2	1.5	0	1	55	5	19900531	2	6230.61	108.29	8.42	-2.56	-3.73	0.68
374	2	1.5	0	1	55	5	19900630	0.99	6292.29	109.36	-1.09	1.43	-1.95	0.63
374	2	1.5	0	1	55	5	19900731	3.03	6483.2	112.68	-1.9	-3.2	-0.02	0.68
374	2	1.5	0	1	55	5	19900831	-5.86	6103.19	106.08	-10.15	-3.58	1.63	0.66
374	2	1.5	0	1	55	5	19900930	-1.82	5992.21	104.15	-6.12	-3.67	0.74	0.6
374	2	1.5	0	1	55	5	19901031	1.31	6070.54	105.51	-1.92	-5.53	0.29	0.68
374	2	1.5	0	1	55	5	19901130	2.46	6220.06	108.11	6.35	0.32	-3.11	0.57
374	2	1.5	0	1	55	5	19901231	1.23	6296.33	109.32	2.46	0.81	-1.56	0.6
374	2	1.5	0	1	55	5	19910131	1.91	6416.83	111.53	4.69	3.8	-1.84	0.52
374	2	1.5	0	1	55	5	19910228	4.02	6674.48	116	7.19	3.94	-0.54	0.48
374	2	1.5	0	1	55	5	19910331	3.82	6929.48	120.44	2.65	3.9	-1.24	0.44
374	2	1.5	0	1	55	5	19910430	0.82	6381.1	118.68	-0.28	0.51	1.4	0.53
374	2	1.5	0	1	55	5	19910531	2.33	6529.49	121.44	3.65	-0.34	-0.56	0.47
374	2	1.5	0	1	55	5	19910630	0.48	6560.85	122.03	-4.94	0.07	1.21	0.42
374	2	1.5	0	1	55	5	19910731	3.18	6769.69	125.87	4.24	-0.95	-1.27	0.49
374	2	1.5	0	1	55	5	19910831	3.46	7004.12	130.27	2.32	1.59	-0.79	0.46
374	2	1.5	0	1	55	5	19910930	2.43	7174.24	133.44	-1.59	1.63	-0.98	0.46
374	2	1.5	0	1	55	5	19911031	1.71	7296.71	135.71	1.29	0.9	-0.44	0.42
